ISO,deathsPerM,deaths,popM
AT,61,536,8.9
BE,275,3148,11.5
BG,8,55,7
HR,13,54,4.1
CY,16,14,0.9
CZ,20,218,10.6
DK,72,418,5.8
EE,35,46,1.3
FI,34,186,5.5
FR,218,14157,64.9
DE,70,5750,82.2
GR,12,130,10.7
HU,27,262,9.8
IE,217,1063,4.9
IT,434,26384,60.8
LV,6,12,1.9
LT,15,41,2.8
LU,138,85,0.6
MT,8,4,0.5
NL,255,4409,17.3
PL,14,524,38
PT,86,880,10.3
RO,31,601,19.4
SK,3,17,5.5
SI,39,81,2.1
ES,493,23190,47
SE,214,2192,10.2
CH,187,1599,8.6
GB,317,21092,66.4
ES-AN,136,1145,8.4
ES-AR,540,712,1.3
ES-AS,243,249,1
ES-IB,152,175,1.1
ES-CN,61,131,2.2
ES-CB,315,183,0.6
ES-CM,1146,2330,2
ES-CL,694,1666,2.4
ES-CT,595,4566,7.7
ES-VC,237,1186,5
ES-EX,395,422,1.1
ES-GA,146,394,2.7
ES-MD,1189,7922,6.7
ES-MC,85,127,1.5
ES-NC,659,431,0.7
ES-PV,557,1230,2.2
ES-RI,994,315,0.3
ES-CE,47,4,0.1
ES-ML,23,2,0.1
IT-ABR,220,293,1.3
IT-PUG,96,391,4.1
IT-BAS,43,25,0.6
IT-CAL,40,80,2
IT-CAM,58,341,5.9
IT-EMR,752,3347,4.5
IT-FVG,214,263,1.2
IT-LAZ,66,387,5.9
IT-LIG,688,1093,1.6
IT-LOM,1327,13269,10
IT-MAR,564,874,1.5
IT-MOL,67,21,0.3
IT-PMN,625,2767,4.4
IT-SAR,62,103,1.7
IT-SIC,44,224,5.1
IT-TOS,203,760,3.8
IT-TAA,379,400,1.1
IT-UMB,70,63,0.9
IT-VAO,1014,130,0.1
IT-VEN,261,1288,4.9
FR-ARA,153,1226,8
FR-BFC,286,797,2.8
FR-BRE,61,203,3.3
FR-CVL,139,355,2.6
FR-COR,145,50,0.3
FR-GES,497,2737,5.5
FR-HDF,217,1291,6
FR-IDF,454,5578,12.3
FR-NOR,97,319,3.3
FR-NAQ,49,294,6
FR-OCC,61,362,5.9
FR-PDL,83,314,3.8
FR-PAC,125,631,5.1
GB-ENG,335,18748,56
GB-SCT,230,1249,5.4
GB-WLS,254,796,3.1
GB-NIR,159,299,1.9
DE-BW,115,1249,10.9
DE-BY,126,1621,12.8
DE-BE,36,125,3.5
DE-BB,40,100,2.5
DE-HB,40,27,0.7
DE-HH,79,142,1.8
DE-HE,52,320,6.2
DE-MV,10,16,1.6
DE-NI,49,391,7.9
DE-NW,63,1131,17.9
DE-RP,38,152,4.1
DE-SL,121,121,1
DE-SN,36,147,4.1
DE-ST,16,36,2.2
DE-SH,34,98,2.9
DE-TH,34,74,2.2
