date,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Igualada,3,3,3,7,12,14,15,24,24,28,32,36,41,43,50,57,61,62,67,75
Barcelona,3.2,3.2,5,5,6,23,32,45,80,132,172,238,397,528,701,849,981,1144,1361,1479
Girona,,,,,,1,1,2,4,11,14,28,32,37,46,56,59,66,83,96
Central-sin-Igua,,,,,,1,4,6,9,14,18,24,28,35,43,54,64,68,79,103
Lleida-Pir,,,,,,1,2,3,3,3,5,8,13,20,27,36,40,44,50,55
Tarragona,,,,,,1,1,1,1,2,3,4,4,8,11,16,19,24,28,36
Ebre,,,,,,,,1,1,1,1,1,1,1,2,2,2,2,4,5
Perpignan,,,,,,,,1,5,5,5,6,7,7,8,9,9,11,12,14
