country,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Cataluña,,0,0.33333333333333326,0.5,0.5,1.2777777777777777,0.3414634146341464,0.49090909090909096,0.4878048780487805,0.5655737704918034,0.2827225130890052,0.38367346938775504,0.5221238938053097,0.30232558139534893,0.30952380952380953,0.21590909090909083,0.14579439252336446,0.15008156606851553,0.18581560283687937,0.10586124401913866,0.13196322336398048,0.11562350692785484,0.0740899357601712,0.0514354066985645,0.04664391353811159,0.05362318840579716,0.045735900962861065,0.03518579414666223,0.0263659466327828,0.03095017022593627,0.033323326328429825,0.027890761185357382,0.03617863199547777
Cat-sin-Igua,,,,0,0.19999999999999996,3.5,0.4814814814814814,0.44999999999999996,0.6896551724137931,0.6632653061224489,0.3067484662576687,0.42253521126760574,0.5676567656765676,0.3242105263157895,0.31955484896661357,0.2204819277108434,0.15004935834155964,0.15708154506437766,0.19065281899109787,0.10529595015576332,0.1245772266065388,0.11679197994987467,0.07271095152603224,0.049790794979079456,0.04503786369071339,,,,,,,,
Igualada,,,,1.3333333333333335,0.7142857142857142,0.16666666666666674,0.0714285714285714,0.6000000000000001,0,0.16666666666666674,0.1428571428571428,0.125,0.13888888888888884,0.04878048780487809,0.16279069767441867,0.1399999999999999,0.07017543859649122,0.016393442622950838,0.08064516129032251,0.11940298507462677,0.30666666666666664,0.09183673469387754,0.10280373831775691,0.0847457627118644,0.078125,,,,,,,,
Barcelona,,,,,0.19999999999999996,2.8333333333333335,0.3913043478260869,0.40625,0.7777777777777777,0.6499999999999999,0.303030303030303,0.38372093023255816,0.6680672268907564,0.3299748110831233,0.32765151515151514,0.2111269614835949,0.15547703180212014,0.16615698267074408,0.18968531468531458,0.08670095518001464,0.11426639621365786,0.11529126213592233,0.059303590859629995,0.04930662557781207,0.043563387175721946,,,,,,,,
Girona,,,,,,,,,,1.75,0.2727272727272727,1,0.1428571428571428,0.15625,0.2432432432432432,0.21739130434782616,0.0535714285714286,0.11864406779661008,0.25757575757575757,0.15662650602409633,0.23958333333333326,0.07563025210084029,0.125,0.09027777777777768,0.06369426751592355,0.08383233532934131,0.09944751381215466,,,,,,
Central-sin-Igua,,,,,,,,0.5,0.5,0.5555555555555556,0.2857142857142858,0.33333333333333326,0.16666666666666674,0.25,0.22857142857142865,0.2558139534883721,0.18518518518518512,0.0625,0.16176470588235303,0.30379746835443044,0.09708737864077666,0.18584070796460184,0.09701492537313428,0.03401360544217691,0.05263157894736836,,,,,,,,
Lleida-Pir,,,,,,,,,,,,0.6000000000000001,0.625,0.5384615384615385,0.3500000000000001,0.33333333333333326,0.11111111111111116,0.10000000000000009,0.13636363636363646,0.10000000000000009,0.1272727272727272,0.11290322580645151,0.08695652173913038,0.05333333333333323,0.012658227848101333,0.02499999999999991,0.04878048780487809,,,,,,
Tarragona,,,,,,,,,,,,,,1,0.375,0.4545454545454546,0.1875,0.26315789473684204,0.16666666666666674,0.2857142857142858,0.33333333333333326,0.08333333333333326,0.32692307692307687,0,0.07246376811594213,0.054054054054053946,0.11538461538461542,,,,,,
Ebre,,,,,,,,,,,,,,,,,,,,,,0.3999999999999999,0.1428571428571428,0.125,0,0,0.11111111111111116,,,,,,
