date,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19
deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,4,5,5,7,8,9,9,9,10,,,,,,,,,,,,
cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,10,10,13,14,16,22,24,26,28,33,41,57,68,77,87,94,97,103,108,111,112,118,121,123,,,,,,,,,,,,
ICU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,5,7,8,8,8,8,8,9,8,8,9,8,9,9,9,10,,,,,,,,,,,,
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,,,,,,,,,,,,,,,,,,,,,,https://www.diaridetarragona.com/tarragona/Seis-nuevos-afectados-por-coronavirus-en-la-demarcacion-de-Tarragona-20200316-0050.html,https://www.diaridetarragona.com/tarragona/Siete-nuevos-casos-confirmados-en-el-Camp-de-Tarragona-20200317-0077.html,,https://www.diaridetarragona.com/ebre/Primer-fallecido-en-Terres-de-lEbre-por-coronavirus-y-17-positivos-nuevos-en-la-demarcacion-20200319-0066.html,https://www.diaridetarragona.com/tarragona/Tarragona-alcanza-el-centenar-de-positivos-por-coronavirus-20200320-0040.html,,,https://www.diaridetarragona.com/tarragona/Tres-muertos-por-coronavirus-y-92-casos-confirmados-en-Tarragona-20200323-0050.html,https://www.diaridetarragona.com/tarragona/Tarragona-alcanza-los-228-positivos-de-coronavirus-tras-sumar-37-casos-nuevos-20200324-0075.html,https://www.diaridetarragona.com/tarragona/Cuatro-nuevas-victimas-del-coronavirus-en-Tarragona-elevan-a-9-los-fallecidos-por-la-pandemia-20200325-0057.html,https://www.diaridetarragona.com/tarragona/13-muertos-por-coronavirus-en-Tarragona-20200326-0067.html,https://www.diaridetarragona.com/tarragona/5-muertos-por-coronavirus-elevan-a-18-las-victimas-en-Tarragona-20200327-0056.html,https://www.diaridetarragona.com/tarragona/Tarragona-registra-tres-fallecidos-por-coronavirus-y-llega-a-21-muertos-20200328-0039.html,https://www.diaridetarragona.com/tarragona/Cinco-muertos-mas-por-coronavirus-en-Tarragona-20200329-0051.html,https://www.diaridetarragona.com/tarragona/Coronavirus-en-Tarragona-82-nuevos-casos-confirmados-y-6-muertes-20200330-0067.html,https://www.diaridetarragona.com/tarragona/Tarragona-registra-su-record-de-muertes-por-coronavirus-en-un-dia-20200331-0093.html,,https://www.diaridetarragona.com/tarragona/Tarragona-bate-un-nuevo-record-de-victimas-de-coronavirus-con-12-fallecidos-20200401-0090.html,https://www.diaridetarragona.com/tarragona/59-fallecidos-por-coronavirus-en-Tarragona-6-en-las-ultimas-horas--20200402-0073.html,https://www.diaridetarragona.com/tarragona/Tarragona-registra-77-fallecidos-por-coronavirus-18-en-las-ultimas-24-horas-20200403-0072.html,https://www.diaridetarragona.com/tarragona/78-muertos-por-coronavirus-en-la-demarcacion-de-Tarragona-20200404-0024.html,,,,,,,,,,,,,,
source2,,,,,,,,,,,,,,,,,,,,,,,https://www.diaridetarragona.com/tarragona/Fallece-una-vecina-de-Montblanc-por-el-coronavirus-20200317-0027.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
