date,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19
deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,5,8,13,20,27,36,40,44,50,55,62,69,75,79,80,82,86,,,,,,,,,,,,
cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,17,26,34,36,41,51,66,78,109,149,163,201,259,319,389,494,604,680,752,825,897,961,991,1037,1063,1098,1123,,,,,,,,,,,,
ICU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,9,14,12,22,27,34,37,40,43,45,47,52,52,53,52,52,50,50,49,,,,,,,,,,,,
recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,91,108,124,152,176,209,217,227,246,,,,,,,,,,,,
age,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,,,,,,,,,,,,,,,https://www.segre.com/es/noticias/guia/2020/03/10/una_mujer_avanzada_edad_primer_positivo_coronavirus_lleida_101108_1111.html,,,https://www.segre.com/es/noticias/lleida/2020/03/13/trece_positivos_mas_lleida_cierre_todos_los_centros_educativos_desde_hoy_101390_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/14/torra_pide_confinar_catalunya_en_lleida_hay_positivos_uno_la_uci_101487_1092.html,,https://www.segre.com/es/noticias/lleida/2020/03/15/dos_nuevos_casos_coronavirus_la_demarcacion_lleida_que_tiene_infectados_101623_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/16/cinco_nuevos_casos_coronavirus_lleida_entre_ellos_una_menor_101699_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/17/primer_muerto_con_coronavirus_lleida_101784_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/18/segundo_muerto_por_coronavirus_15_casos_nuevos_lleida_101870_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/19/lleida_registra_tercer_fallecido_con_coronavirus_los_contagios_suben_78_101949_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/20/lleida_suma_casos_nuevos_coronavirus_ya_supera_centenar_102034_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/21/la_demarcacion_lleida_suma_casos_nuevos_coronavirus_un_dia_102093_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/22/lleida_registra_dos_fallecidos_mas_por_coronavirus_102174_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/23/pugen_els_morts_per_coronavirus_lleida_els_casos_positius_passen_200_102253_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/24/lleida_suma_morts_positius_coronavirus_sol_dia_102336_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/25/ya_son_los_fallecidos_por_coronavirus_lleida_319_los_casos_positivos_102428_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/26/dos_muertos_mas_por_coronavirus_lleida_nuevos_positivos_102513_1092.html,https://www.segre.com/es/noticias/lleida/2020/03/27/lleida_suma_nuevas_muertes_por_coronavirus_los_infectados_elevan_hasta_los_494_102603_1092.html,,,https://www.segre.com/es/noticias/lleida/2020/03/30/lleida_arriba_als_morts_per_coronavirus_assoleix_752_casos_confirmats_102851_1092.html,https://www.segre.com/es/noticias/lleida/2020/04/01/lleida_con_doble_altas_que_fallecidos_el_cap_prat_la_riba_abrira_las_horas_102938_1092.html,,https://www.segre.com/es/noticias/lleida/2020/04/03/siete_muertos_mas_lleida_pero_numero_hospitalizados_no_crece_haber_altas_103110_1092.html,,https://www.segre.com/es/noticias/lleida/2020/04/04/lleida_suma_muertos_mas_por_coronavirus_supera_millar_casos_confirmados_103241_1092.html,https://www.segre.com/es/noticias/lleida/2020/04/06/cinco_muertos_mas_residencias_lleida_mientras_salud_solo_anuncia_uno_103350_1092.html,https://www.segre.com/noticies/guia/2020/04/06/salut_confirma_mort_dues_persones_amb_covid_les_darreres_hores_nous_positius_demarcacio_lleida_103423_1111.html,https://www.segre.com/noticies/guia/2020/04/07/quatre_morts_mes_casos_nous_coronavirus_lleida_103505_1111.html,,,,,,,,,,,,
source2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
