date,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Cataluña,0,33.3,50,50,127.8,34.1,49.1,48.8,56.6,28.3,38.4,52.2,30.2,31,21.6
Cat-sin-Igua,,,0,20,350,48.1,45,69,66.3,30.7,42.3,56.8,32.4,32,22
Madrid,0,31.3,52.4,75,44.6,67.9,56.6,31.5,26.8,9.9,27.7,26.1,28,27,23.7
Lombardia,0,12.5,55.6,21.4,35.3,4.3,58.3,44.7,32.7,34.2,37.8,14.1,73.4,24.7,40.5
Occitanie,0,35.3,17.4,11.1,6.7,25,12.5,20,13,9.8,7.5,12.5,8.6,20.5,13.2
Algeria,0,22.2,36.4,13.3,0,11.8,10.5,19,4,11.5,6.9,12.9,25.7,31.8,48.3
Argentina,0,12.5,44.4,38.5,5.6,21.1,17.4,3.7,28.6,8.3,10.3,2.3,9.1,16.7,12.5
Austria,0,33.3,100,31.3,33.3,7.1,63.3,18.4,17.2,26.5,25.6,18.5,14.1,8.2,6.3
Bangladesh,0,0,33.3,12.5,33.3,41.7,17.6,5,28.6,11.1,13.3,14.7,17.9,8.7,20
Belgium,0,50,76.2,81.1,11.9,17.3,38.6,45.9,23.6,31.4,22.1,22.1,19,37.4,17.4
Brazil,0,36.4,66.7,36,35.3,28.3,30.5,19.5,20.7,22.5,16.9,26.4,19.4,35,10.8
Canada-Ontario,0,14.3,62.5,38.5,0,16.7,47.6,6.5,12.1,43.2,26.4,40.3,26.6,26.1,2
Canada-Quebec,0,125,22.2,0,13.6,24,6.5,9.1,69.4,23,25.3,28.7,24,16.7,23.4
Chile,0,14.3,50,33.3,12.5,22.2,22.7,25.9,8.8,16.2,11.6,18.8,14,12.3,9.6
China-Hubei,0,41.2,66.7,30,46.2,64.5,0,29.6,25.9,22.1,40.6,18.3,15.7,14.6,12.6
Colombia,0,0,66.7,20,33.3,6.3,11.8,31.6,28,9.4,31.4,8.7,8,27.8,15.9
Czechia,0,0,22.2,45.5,43.8,34.8,25.8,12.8,20.5,11.3,13.6,16.4,12.8,12.5,13.1
Denmark,0,44.4,0,84.6,33.3,6.3,20.6,26.8,25,10.8,6.9,16.9,15.6,18.3,13
Dominican Republic,0,0,100,40,39.3,7.7,21.4,11.8,5.3,13.3,0,20.6,4.9,14,10.2
Ecuador,0,28.6,50,3.7,21.4,5.9,33.3,20.8,3.4,25,24,29,20.8,18.6,4.7
Egypt,0,33.3,25,40,35.7,5.3,5,14.3,25,20,11.1,2.5,12.2,13,11.5
Finland,0,22.2,18.2,30.8,0,11.8,5.3,25,12,-3.6,25.9,17.6,5,14.3,2.1
France,0,22.2,72.7,57.9,10,45.5,27.1,29.5,15.2,39.6,16.5,18.2,39.4,52.5,21
Germany,0,22.2,54.5,41.2,16.7,57.1,52.3,25.4,11.9,30.9,27.6,31.2,29.6,28.1,26.6
Greece,0,30,15.4,13.3,17.6,10,22.7,3.7,14.3,21.9,17.9,6.5,4.1,3.9,18.9
Hungary,0,28.6,11.1,0,0,10,18.2,15.4,6.7,25,5,23.8,23.1,6.3,11.8
India,0,0,20,66.7,0,20,12.5,18.5,9.4,65.7,24.1,0,19.4,15.1,37.4
Indonesia,0,31.6,28,18.8,26.3,2.1,12.2,5.5,34.5,11.5,17.2,11.8,7,11.5,15.4
Iran,0,33.3,18.8,36.8,30.8,26.5,25.6,22.2,16.7,19.5,16.3,15.9,16.9,33.8,22.2
Ireland,0,28.6,111.1,15.8,63.6,27.8,17.4,31.5,19.7,15.3,22.4,14.2,15.3,10.1,20.7
Israel,0,0,25,6.7,25,30,38.5,11.1,10,11.4,16.3,14,12.3,17.8,10.5
Italy,0,9.1,41.7,23.5,38.1,41.4,26.8,51.9,35.4,38.3,33.1,18.3,57.1,26.5,36.3
Japan,0,0,0,0,0,0,0,66.7,0,50,6.7,18.8,15.8,0,22.7
Korea South,0,37.5,9.1,8.3,0,23.1,6.3,23.5,33.3,14.3,9.4,20,2.4,11.6,4.2
Mexico,0,50,33.3,25,40,3.6,27.6,35.1,20,31.7,19,33,12.8,23.4,11.5
Morocco,0,109.1,8.7,4,26.9,9.1,8.3,12.8,9.1,22.9,18.6,14.3,12.5,3.3,4.3
Netherlands,0,66.7,20,79.2,34.9,31,39.5,28.3,31.6,19,29.6,29,21.9,25.8,17
Norway,0,0,0,0,42.9,20,16.7,0,35.7,21.1,8.7,28,21.9,12.8,13.6
Pakistan,0,14.3,12.5,22.2,9.1,16.7,50,23.8,3.8,25.9,17.6,2.5,14.6,12.8,7.5
Panama,0,33.3,0,12.5,55.6,21.4,41.2,25,0,6.7,15.6,10.8,12.2,17.4,1.9
Peru,0,0,22.2,45.5,12.5,33.3,25,26.7,44.7,10.9,19.7,13.7,10.8,16.3,13.1
Philippines,0,0,16.7,21.4,0,5.9,5.6,31.6,32,6.1,8.6,18.4,20,25.9,4.4
Poland,0,25,40,14.3,0,12.5,22.2,40.9,6.5,30.3,32.6,24.6,11.3,19,13.8
Portugal,0,16.7,64.3,43.5,30.3,39.5,26.7,31.6,19,17.6,14.3,16.9,11.8,17.7,8.1
Romania,0,54.5,35.3,13,42.3,16.2,51.2,26.2,12.2,25,15.7,9.8,3.4,16.6,11.9
Russia,0,88.9,41.2,25,13.3,26.5,4.7,4.4,23.4,8.6,20.6,23.7,12.8,22.6,13.8
Saudi Arabia,0,25,60,31.3,19,16,17.2,11.8,7.9,0,7.3,6.8,10.6,13.5,10.2
Serbia,0,25,30,23.1,43.8,21.7,10.7,25.8,12.8,15.9,13.7,5.2,6.6,1.5,7.6
Spain,0,64.7,25,54.3,55.6,58.3,46.6,48.2,18.3,55.8,16.9,33.2,25.7,31.8,28.9
Sweden,0,25,10,45.5,25,5,28.6,48.1,55,24.2,36.4,0,4.8,32.7,23.3
Switzerland,0,18.2,7.7,35.7,42.1,22.2,30.3,30.2,42.9,22.5,22.4,1.7,25.4,24.8,20.9
Turkey,0,42.9,23.3,18.9,34.1,27.1,22.7,17.4,21.3,28.2,27.4,29.4,28.5,19.4,17.9
Ukraine,0,30,30.8,17.6,10,22.7,18.5,15.6,2.7,18.4,15.6,9.6,21.1,5.8,13.7
United Kingdom,0,25,10,90.9,66.7,57.1,29.1,46.5,38.5,22.9,31.6,20.6,19.2,26,10.2
US,0,57.1,9.1,16.7,21.4,23.5,4.8,27.3,28.6,11.1,17.5,14.9,16.7,34.9,27.1
US-New York City,0,52.4,78.1,47.4,59.5,34.3,28.9,41.4,32,32.3,39.3,31.6,31.1,25.6,23.1
