date,0,1,2,3,4,5,6,7,8,9,10
Cataluña,6,6,8,12,18,41,55,82,122,191,245
Cat-sin-Igua,3,3,5,5,6,27,40,58,98,163,213
Madrid,8,16,21,32,56,81,136,213,280,355,390
Lombardia,6,8,9,14,17,23,24,38,55,73,98
Occitanie,10,17,23,27,30,32,40,45,54,61,67
Algeria,7,9,11,15,17,17,19,21,25,26,29
Argentina,6,8,9,13,18,19,23,27,28,36,39
Austria,6,6,8,16,21,28,30,49,58,68,86
Bangladesh,6,6,6,8,9,12,17,20,21,27,30
Belgium,10,14,21,37,67,75,88,122,178,220,289
Brazil,6,11,15,25,34,46,59,77,92,111,136
Canada-Ontario,6,7,8,13,18,18,21,31,33,37,53
Canada-Quebec,6,8,18,22,22,25,31,33,36,61,75
Chile,6,7,8,12,16,18,22,27,34,37,43
China-Hubei,17,17,24,40,52,76,125,125,162,204,249
Colombia,6,6,6,10,12,16,17,19,25,32,35
Czechia,6,9,9,11,16,23,31,39,44,53,59
Denmark,6,9,13,13,24,32,34,41,52,65,72
Dominican Republic,6,10,10,20,28,39,42,51,57,60,68
Ecuador,7,14,18,27,28,34,36,48,58,60,75
Egypt,6,6,8,10,14,19,20,21,24,30,36
Finland,7,9,11,13,17,17,19,20,25,28,27
France,6,9,11,19,30,33,48,61,79,91,127
Germany,7,9,11,17,24,28,44,67,84,94,123
Greece,6,10,13,15,17,20,22,27,28,32,39
Hungary,6,7,9,10,10,10,11,13,15,16,20
India,7,10,10,12,20,20,24,27,32,35,58
Indonesia,7,19,25,32,38,48,49,55,58,78,87
Iran,8,12,16,19,26,34,43,54,66,77,92
Ireland,6,7,9,19,22,36,46,54,71,85,98
Israel,8,12,12,15,16,20,26,36,40,44,49
Italy,7,11,12,17,21,29,41,52,79,107,148
Japan,6,6,6,6,6,6,6,6,10,10,15
Korea South,6,8,11,12,13,13,16,17,21,28,32
Mexico,6,8,12,16,20,28,29,37,50,60,79
Morocco,6,11,23,25,26,33,36,39,44,48,59
Netherlands,10,12,20,24,43,58,76,106,136,179,213
Norway,6,7,7,7,7,10,12,14,14,19,23
Pakistan,6,7,8,9,11,12,14,21,26,27,34
Panama,6,6,8,8,9,14,17,24,30,30,32
Peru,7,9,9,11,16,18,24,30,38,55,61
Philippines,8,12,12,14,17,17,18,19,25,33,35
Poland,7,8,10,14,16,16,18,22,31,33,43
Portugal,6,12,14,23,33,43,60,76,100,119,140
Romania,7,11,17,23,26,37,43,65,82,92,115
Russia,8,9,17,24,30,34,43,45,47,58,63
Saudi Arabia,8,8,10,16,21,25,29,34,38,41,41
Serbia,7,8,10,13,16,23,28,31,39,44,51
Spain,10,17,28,35,54,84,133,195,289,342,533
Sweden,7,8,10,11,16,20,21,27,40,62,77
Switzerland,7,11,13,14,19,27,33,43,56,80,98
Turkey,9,21,30,37,44,59,75,92,108,131,168
Ukraine,9,10,13,17,20,22,27,32,37,38,45
United Kingdom,6,8,10,11,21,35,55,71,104,144,177
US,6,7,11,12,14,17,21,22,28,36,40
