country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Morocco,11,23,25,26,33,36,39,44,48,59,70,80,90,93,97,107,111,118,126,126,127,130,135,137,141,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,4,5,5,10,12,20,24,43,58,76,106,136,179,213,276,356,434,546,639,771,864,1039,1173,1339,1487,1651,1766,1867,2101,2248,2396,2511,2643,2737,2823,2945,3134,3315,3459,3601,3684,3751,,,,,,,,,,,,,,,
Norway,14,14,19,23,25,32,39,44,50,59,62,71,76,89,101,108,113,119,128,134,139,150,152,161,164,165,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,11,12,14,21,26,27,34,40,41,47,53,57,61,65,66,86,91,93,96,111,128,135,143,168,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,14,17,24,30,30,32,37,41,46,54,55,59,63,66,74,79,87,94,95,103,109,116,120,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,9,11,16,18,24,30,38,55,61,73,83,92,107,121,138,169,181,193,216,230,254,274,300,348,400,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,17,18,19,25,33,35,38,45,54,68,71,78,88,96,107,136,144,152,163,177,182,203,221,247,297,315,335,349,362,387,397,409,428,,,,,,,,,,,,,,,,,,,,,,,,
Poland,14,16,16,18,22,31,33,43,57,71,79,94,107,129,159,174,181,208,232,245,263,286,314,332,347,360,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2,3,6,12,14,23,33,43,60,76,100,119,140,160,187,209,246,266,295,311,345,380,409,435,470,504,535,567,599,629,657,687,714,735,,,,,,,,,,,,,,,,,,,,,,,
Romania,3,7,11,17,23,26,37,43,65,82,92,115,133,146,151,176,197,220,248,270,291,316,331,351,372,392,411,421,451,478,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,4,8,9,17,24,30,34,43,45,47,58,63,76,94,106,130,148,170,198,232,273,313,361,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,10,16,21,25,29,34,38,41,41,44,47,52,59,65,73,79,83,87,92,97,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,10,13,16,23,28,31,39,44,51,58,61,65,66,71,74,80,85,94,99,103,110,117,122,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,2,3,5,10,17,28,35,54,84,133,195,289,342,533,623,830,1043,1375,1772,2311,2808,3647,4365,5138,5982,6803,7716,8464,9387,10348,11198,11947,12641,13341,14045,14792,15447,16081,16606,17209,17756,18056,18708,19315,20002,20043,20453,20852,,,,,,,,,
Sweden,8,10,11,16,20,21,27,40,62,77,105,105,110,146,180,239,308,358,373,401,477,591,687,793,870,887,899,919,1033,1203,1333,1400,1511,1540,1580,,,,,,,,,,,,,,,,,,,,,,
Switzerland,7,11,13,14,19,27,33,43,56,80,98,120,122,153,191,231,264,300,359,433,488,536,591,666,715,765,821,895,948,1002,1036,1106,1138,1174,1239,1281,1327,1368,1393,1429,,,,,,,,,,,,,,,,,
Turkey,1,2,4,9,21,30,37,44,59,75,92,108,131,168,214,277,356,425,501,574,649,725,812,908,1006,1101,1198,1296,1403,1518,1643,1769,1890,2017,2140,,,,,,,,,,,,,,,,,,,,,,
Ukraine,17,20,22,27,32,37,38,45,52,57,69,73,83,93,98,108,116,125,133,141,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,5,6,8,10,11,21,35,55,71,104,144,177,233,281,335,422,465,578,759,1019,1228,1408,1789,2352,2921,3605,4313,4934,5373,6159,7097,7978,8958,9875,10612,11329,12107,12868,13729,14576,15464,16060,16509,,,,,,,,,,,,,,
US,12,14,17,21,22,28,36,40,47,54,63,85,108,118,200,244,307,417,557,706,942,1209,1581,2026,2467,2978,3873,4757,5926,7087,8407,9619,10783,12722,14695,16544,18586,20462,22019,23528,25831,28325,32916,36773,38664,40661,42094,,,,,,,,,,
