name,19/02/20,20/02/20,21/02/20,22/02/20,23/02/20,24/02/20,25/02/20,26/02/20,27/02/20,28/02/20,29/02/20,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20,06/03/20,07/03/20,08/03/20,09/03/20,10/03/20,11/03/20,12/03/20,13/03/20,14/03/20,15/03/20,16/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20
IT,0,0,1,2,3,7,10,12,17,21,29,34,52,79,107,148,197,233,366,463,631,827,1016,1266,1441,1809,2158,2503,2978,3405,4032,4825,5476,6077,6820,7503,8165,9134,10023,10779,11591,12428,13155,13915,14681,15362,15887,16523,17127,17669,18279,18849,19468,19899,20465,21067,21645,22170,22745,23227,23660,24114,24648,25085,25549,25969,26384,26644,26977,27359,27682,27967,28236
IT-ABR,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,6,7,11,17,22,33,38,46,52,63,68,76,88,102,115,123,133,146,153,158,169,172,179,194,198,206,212,224,232,240,243,246,253,258,263,271,276,280,286,293,295,299,310,315,320,324
IT-BAS,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,5,7,9,10,11,11,13,13,14,14,15,15,17,18,18,19,21,22,22,23,24,24,24,24,24,24,25,25,25,25,25,25,25
IT-CAL,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,5,8,7,10,11,14,18,21,25,31,36,38,41,45,49,56,58,60,60,61,65,66,66,67,68,71,72,73,73,75,75,76,76,76,80,80,80,83,85,86,86,86
IT-CAM,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,9,9,9,9,17,17,22,29,49,56,74,83,98,109,117,125,133,148,167,181,186,189,204,216,221,227,231,238,242,248,260,278,286,293,300,304,309,317,327,332,336,341,345,352,358,359,359,359
IT-EMR,,,,,,0,0,1,1,2,4,8,11,18,22,30,37,48,56,70,85,113,146,201,241,284,346,393,458,531,640,715,816,892,985,1077,1174,1267,1344,1443,1538,1644,1732,1811,1902,1977,2051,2108,2180,2234,2316,2397,2481,2564,2615,2705,2788,2843,2903,2965,3023,3079,3147,3204,3269,3303,3347,3386,3431,3472,3512,3551,3579
IT-FVG,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,8,10,13,14,22,30,31,36,38,42,47,54,64,70,72,76,87,98,107,113,122,129,136,145,154,158,164,169,171,179,185,195,202,206,212,217,220,222,225,239,241,246,256,258,263,264,271,278,285,289,294
IT-LAZ,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,6,6,9,11,13,16,19,23,32,38,43,50,53,63,80,95,106,118,124,136,150,162,169,185,199,212,219,229,238,244,253,263,273,279,284,300,311,316,332,340,341,349,363,370,375,384,387,389,397,414,431,441,482
IT-LIG,,,,,,0,0,0,0,0,0,0,0,1,1,3,3,4,6,7,8,8,11,17,27,33,50,60,73,91,119,152,171,212,231,254,280,331,358,377,397,428,460,488,519,542,556,595,620,654,682,709,734,749,760,793,807,828,866,897,928,957,990,1022,1047,1076,1093,1114,1128,1141,1152,1167,1184
IT-LOM,0,0,1,2,3,6,9,9,14,17,23,24,38,55,73,98,135,154,267,333,468,617,744,890,966,1218,1420,1640,1959,2168,2549,3095,3456,3776,4178,4474,4861,5402,5944,6360,6818,7199,7593,7960,8311,8656,8905,9202,9484,9722,10022,10238,10511,10621,10901,11142,11377,11608,11851,12050,12213,12376,12579,12740,12940,13106,13269,13325,13449,13575,13679,13772,13860
