ISO,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,
DE,5750,5913,,,,6575,
DE-BW,1249,1269,,,,1402,
DE-BY,1621,1681,,,,1885,
DE-BE,125,127,,,,152,
DE-BB,100,106,,,,122,
DE-HB,27,27,,,,30,
DE-HH,142,142,,,,163,
DE-HE,320,333,,,,364,
DE-MV,16,17,,,,18,
DE-NI,391,394,,,,451,
DE-NW,1131,1171,,,,1268,
DE-RP,152,157,,,,173,
DE-SL,121,123,,,,135,
DE-SN,147,148,,,,163,
DE-ST,36,39,,,,44,
DE-SH,98,101,,,,112,
DE-TH,74,78,,,,93,
