ISO,01/05/20
AT,589
BE,3517
BG,68
HR,75
CY,15
CZ,240
DK,460
EE,52
FI,218
FR,15310
DE,6575
GR,140
HU,323
IE,1265
IT,28236
LV,16
LT,45
LU,92
MT,4
NL,4893
PL,651
PT,1007
RO,744
SK,23
SI,92
ES,25950
SE,2653
CH,1754
GB,23599
ES-AN,1253
ES-AR,761
ES-AS,279
ES-IB,197
ES-CN,140
ES-CB,193
ES-CM,2534
ES-CL,1788
ES-CT,5987
ES-VC,1258
ES-EX,458
ES-GA,557
ES-MD,8292
ES-MC,132
ES-NC,460
ES-PV,1321
ES-RI,334
ES-CE,4
ES-ML,2
FR-ARA,1346
FR-BFC,843
FR-BRE,212
FR-CVL,395
FR-COR,50
FR-GES,2915
FR-HDF,1390
FR-IDF,6047
FR-NOR,347
FR-NAQ,324
FR-OCC,394
FR-PDL,343
FR-PAC,704
FR-OCC-66,33
IT-ABR,324
IT-BAS,25
IT-CAL,86
IT-CAM,359
IT-EMR,3579
IT-FVG,294
IT-LAZ,482
IT-LIG,1184
IT-LOM,13860
IT-MAR,911
IT-MOL,21
IT-PMN,3097
IT-PUG,421
IT-SAR,117
IT-SIC,237
IT-TOS,854
IT-TAA,701
IT-UMB,68
IT-VAO,137
IT-VEN,1479
BE-BRU,620
BE-VLG,1601
BE-WAL,1296
GB-SCT,1475
GB-WLS,925
GB-NIR,347
GB-ENG,20852
GB-ENG-H,2397
GB-ENG-I,5098
GB-ENG-FG,4084
GB-ENG-CE,2839
GB-ENG-D,3083
GB-ENG-J,2404
GB-ENG-K,947
DE-BW,1402
DE-BY,1885
DE-BE,152
DE-BB,122
DE-HB,30
DE-HH,163
DE-HE,364
DE-MV,18
DE-NI,451
DE-NW,1268
DE-RP,173
DE-SL,135
DE-SN,163
DE-ST,44
DE-SH,112
DE-TH,93
