date,grow_%,0,10,14
Cat-sin-Igua,6470,27,1013,1774
Catalu̱a,4410,41,1070,1849
Spain,6654,54,1375,3647
Italy,4312,41,827,1809
Madrid,3632,56,1021,2090
Lombardia,2882,55,890,1640
Netherlands,2316,43,546,1039
Germany,2416,44,533,1107
France,2673,48,562,1331
China-Hubei,1850,40,479,780
Belgium,1815,67,705,1283
United Kingdom,2460,55,578,1408
US,2923,40,417,1209
Turkey,1548,44,425,725
Occitanie,353,40,133,181
Algeria,641,44,256,326
Argentina,200,43,102,129
Austria,502,49,204,295
Bangladesh,-100,46,,
Brazil,1391,46,359,686
Canada-Ontario,825,53,274,490
Canada-Quebec,1028,61,360,688
Chile,-100,43,116,
Colombia,311,46,144,189
Czechia,284,44,138,169
Denmark,478,41,179,237
Dominican Republic,321,42,118,177
Ecuador,556,48,191,315
Egypt,298,40,103,159
Finland,-100,40,90,
Greece,115,46,87,99
Hungary,-100,47,156,
India,598,58,288,405
Indonesia,313,48,157,198
Iran,1321,43,291,611
Ireland,626,46,235,334
Israel,278,40,116,151
Japan,88,41,57,77
Korea South,117,42,75,91
Mexico,872,50,296,486
Morocco,195,44,118,130
Norway,241,44,119,150
Pakistan,238,40,93,135
Panama,183,41,94,116
Peru,398,55,193,274
Philippines,351,45,152,203
Poland,565,43,208,286
Portugal,784,43,266,380
Romania,635,43,220,316
Russia,628,43,170,313
Saudi Arabia,-100,41,87,
Serbia,166,44,94,117
Sweden,1378,40,358,591
Switzerland,1147,43,300,536
Ukraine,-100,45,125,
