name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Algeria,0,0.2857142857142858,0.22222222222222232,0.36363636363636354,0.1333333333333333,0,0.11764705882352944,0.10526315789473695,0.19047619047619047,0.040000000000000036,0.11538461538461542,0.06896551724137923,0.12903225806451624,0.2571428571428571,0.3181818181818181,0.48275862068965525,0.22093023255813948,0.23809523809523814,0.1692307692307693,0.13815789473684204,0.11560693641618491,0.06217616580310881,0.14634146341463405,0.08936170212765959,0.07421875,0.06545454545454543,0.06825938566552892,0.04153354632587858,0.030674846625766916,0.03571428571428581,0.04597701149425282,0.008241758241758212,0.021798365122615904,0.02400000000000002,0.02083333333333326,0.025510204081632626,0.01243781094527363,0.019656019656019597,0.009638554216867545,0.014319809069212486,0.016470588235294015,0.011574074074074181,0.016018306636155666,0.013513513513513598,,,,,,,,,,,,,
Argentina,0,0.33333333333333326,0.125,0.4444444444444444,0.3846153846153846,0.05555555555555558,0.21052631578947367,0.17391304347826098,0.03703703703703698,0.2857142857142858,0.08333333333333326,0.10256410256410264,0.023255813953488413,0.09090909090909083,0.16666666666666674,0.125,0.1428571428571428,0.13888888888888884,0.012195121951219523,0.0843373493975903,0.07777777777777772,0.05154639175257736,0.08823529411764697,0.03603603603603611,0.06956521739130439,0.04878048780487809,0.023255813953488413,0.030303030303030276,0.0808823529411764,0.03401360544217691,0.08552631578947367,0.06666666666666665,0.051136363636363535,0.037837837837837895,0.02604166666666674,0.050761421319796884,0.033816425120772875,0.01869158878504673,,,,,,,,,,,,,,,,,,,
Austria,0,0,0.33333333333333326,1,0.3125,0.33333333333333326,0.0714285714285714,0.6333333333333333,0.18367346938775508,0.17241379310344818,0.2647058823529411,0.2558139534883721,0.18518518518518512,0.140625,0.08219178082191791,0.06329113924050622,0.1071428571428572,0.09677419354838701,0.07843137254901955,0.1045454545454545,0.1234567901234569,0.08058608058608052,0.08135593220338988,0.056426332288401326,0.03857566765578646,0.05142857142857138,0.04347826086956519,0.0234375,0.04325699745547085,0.051219512195122,0.0278422273781902,0.020316027088036037,0.03982300884955747,0.044680851063829685,0.0386965376782078,0.0235294117647058,0.015325670498084198,0.01132075471698113,0.011194029850746245,0.012915129151291449,0.03642987249544616,0.019332161687170446,0.006896551724137945,,,,,,,,,,,,,,
Bangladesh,0,0,0,0.33333333333333326,0.125,0.33333333333333326,0.41666666666666674,0.17647058823529416,0.050000000000000044,0.2857142857142858,0.11111111111111116,0.1333333333333333,0.1470588235294117,0.17948717948717952,0.08695652173913038,0.19999999999999996,0.25,0.1200000000000001,0.08333333333333326,0.10989010989010994,0.08910891089108919,0.09090909090909083,0.05833333333333335,0.03149606299212593,0.06870229007633588,0.03571428571428581,0.048275862068965614,0.019736842105263053,0.05161290322580636,0.030674846625766916,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,0,0.3999999999999999,0.5,0.7619047619047619,0.8108108108108107,0.11940298507462677,0.17333333333333334,0.38636363636363646,0.459016393442623,0.2359550561797752,0.3136363636363637,0.2214532871972319,0.22096317280453248,0.19025522041763332,0.3742690058479532,0.1744680851063829,0.22101449275362328,0.13056379821958464,0.12248468941382318,0.12782540919719398,0.1278507256392536,0.24693627450980382,0.10073710073710074,0.12633928571428577,0.19659135949266737,0.10831401126200735,0.07591153616258217,0.08416666666666672,0.06507814501665377,0.0680779408227088,0.0939189189189189,0.0630018529956764,0.05616889405384473,0.04217861727489458,0.025514692943867656,0.029169526424159153,0.044014671557185636,0.036410092622165546,0.0291217257318952,0.035634076957628436,0.025589128234783765,0.015928954045672405,0.017205494657971387,0.02318919656254259,0.012398346887081635,,,,,,,,,,,,
Brazil,0,0.8333333333333333,0.36363636363636354,0.6666666666666667,0.3600000000000001,0.3529411764705883,0.28260869565217384,0.30508474576271194,0.19480519480519476,0.2065217391304348,0.22522522522522515,0.1691176470588236,0.26415094339622636,0.19402985074626855,0.3500000000000001,0.10802469135802473,0.23955431754874645,0.09213483146067425,0.16049382716049387,0.2163120567375887,0.19387755102040827,0.15995115995116005,0.11263157894736842,0.06338694418164614,0.08807829181494653,0.08585445625511046,0.1536144578313252,0.13315926892950403,0.10829493087557607,0.11278586278586289,0.09948622139187302,0.04587935429056933,0.050771730300568585,0.05952841128720521,0.060197008391098095,0.1462491397109429,0.11197838486940848,0.09530237580993517,0.056445649494700545,0.07396173588427435,0.10427981751031945,0.08459571119417664,0.08942499546526395,,,,,,,,,,,,,,
Canada-Ontario,0,0.16666666666666674,0.1428571428571428,0.625,0.3846153846153846,0,0.16666666666666674,0.4761904761904763,0.06451612903225801,0.1212121212121211,0.43243243243243246,0.26415094339622636,0.4029850746268657,0.26595744680851063,0.26050420168067223,0.020000000000000018,0,0.30718954248366015,0.1100000000000001,0.13963963963963955,0.08300395256916993,0.06204379562043805,0.1477663230240549,0.15269461077844304,0.2727272727272727,0.06938775510204076,0.07633587786259532,0.0478723404255319,0.055837563451776706,0.11217948717948723,0.09798270893371752,0.05774278215223094,0.0694789081885856,0.06264501160092806,0.048034934497816595,0.06562500000000004,0.047898338220918824,0.07555970149253732,0.04509973980919346,,,,,,,,,,,,,,,,,,
Canada-Quebec,0,0.33333333333333326,1.25,0.22222222222222232,0,0.13636363636363646,0.24,0.06451612903225801,0.09090909090909083,0.6944444444444444,0.2295081967213115,0.2533333333333334,0.2872340425531914,0.2396694214876034,0.16666666666666674,0.2342857142857142,0.1157407407407407,0.19917012448132776,0.13494809688581322,0.09756097560975618,0.20833333333333326,0.11954022988505741,0.29363449691991783,0.09206349206349196,0,0.19186046511627897,0.1451219512195121,0.11182108626198084,0.0862068965517242,0.09611992945326286,0.07803700724054696,0.07910447761194028,0.048409405255878335,0.0554089709762533,0.05187499999999989,0.04693998811645872,0.05505107832009082,,,,,,,,,,,,,,,,,,,,
Chile,0,0.16666666666666674,0.1428571428571428,0.5,0.33333333333333326,0.125,0.22222222222222232,0.2272727272727273,0.2592592592592593,0.08823529411764697,0.16216216216216206,0.11627906976744184,0.1875,0.14035087719298245,0.12307692307692308,0.09589041095890405,0.02499999999999991,0.12195121951219523,0.021739130434782705,0.11702127659574457,0.10476190476190483,0.0862068965517242,0.05555555555555558,0.04511278195488733,0.05755395683453246,0.08843537414965996,0.050000000000000044,0.03571428571428581,0.04022988505747116,0.04419889502762442,0.04761904761904767,0.045454545454545414,0.04347826086956519,0.05092592592592582,,,,,,,,,,,,,,,,,,,,,,,
China-Hubei,0,0,0.41176470588235303,0.6666666666666667,0.30000000000000004,0.46153846153846145,0.644736842105263,0,0.29600000000000004,0.2592592592592593,0.22058823529411775,0.4056224899598393,0.18285714285714283,0.15700483091787443,0.14613778705636737,0.12568306010928953,0.13106796116504849,0.11587982832618016,0.1166666666666667,0.11825487944890933,0.0965092402464065,0,0.22659176029962547,0.11221374045801524,0.09540150995195606,0.06265664160400997,0.05483490566037741,0.07378423700391279,0.05622071837584586,0.0566781665845244,0,0.09421641791044766,0,0.06351236146632555,0.027254509018036055,0.020288724151385162,0.009942638623327005,0.015524422567209317,0.016778523489932917,0.01246791345801257,0.01521187975371241,0.011416339636104222,0.012698412698412653,0.01079763148728663,0.009993108201240553,0.00955305356533609,0.009124704291990637,0.007367716008037428,0.005319148936170137,0.007275132275132323,0.0032829940906107247,0.0019633507853402676,0.004245591116917025,0.003252032520325132,0.004538087520259415,0.0038722168441431837,0.003535840565734416
