name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Germany,0,28.6,22.2,54.5,41.2,16.7,57.1,52.3,25.4,11.9,30.9,27.6,31.2,29.6,28.1,26.6,23.1,21,20.2,18.7,20.3,15.2,13.3,9.7,14.3,11.4,16.5,11,6.1,-1.1,10.5,5.7,3.1,15.5,6.5,7.4,2.5,2.8,6,3.5,4.9,5.6,3.3,2,1.7,2.5,3.1,2.4,2.4,,,,,,,,
Greece,0,66.7,30,15.4,13.3,17.6,10,22.7,3.7,14.3,21.9,17.9,6.5,4.1,3.9,18.9,7.9,7.4,8.2,2.5,2.5,4.8,5.7,1.1,5.4,1,2,1,2.9,2.9,1.9,2.7,2.7,4.3,0,3.3,4,0,3.1,1.5,1.5,0.7,0.7,,,,,,,,,,,,,,
Hungary,0,16.7,28.6,11.1,0,0,10,18.2,15.4,6.7,25,5,23.8,23.1,6.3,11.8,23.7,23.4,13.8,16.7,10.4,16.5,10.1,11.9,9.8,6,9.9,10.3,9.9,5.3,7,5.6,6.2,9.6,0,3.8,2.9,3.9,3.1,4,,,,,,,,,,,,,,,,,
India,0,42.9,0,20,66.7,0,20,12.5,18.5,9.4,65.7,24.1,0,19.4,15.1,37.4,10.3,18.7,27,8.8,17.1,14.9,8.2,9.8,3.1,10.6,8.5,7.2,7.3,5.9,9,5.6,5.9,8.2,5.8,6.8,6.6,7.3,7,7,,,,,,,,,,,,,,,,,
Indonesia,0,171.4,31.6,28,18.8,26.3,2.1,12.2,5.5,34.5,11.5,17.2,11.8,7,11.5,15.4,8.3,6.5,5.5,3.7,5.6,5.7,8.6,16.7,9.3,6.9,14.1,7,15,2.2,5.8,4.8,2.9,8.8,1.4,4.4,3.1,1.9,6.5,4.5,3.2,3,1,1.4,1,,,,,,,,,,,,
Iran,0,50,33.3,18.8,36.8,30.8,26.5,25.6,22.2,16.7,19.5,16.3,15.9,16.9,33.8,22.2,22.8,21.6,21.2,19.8,18.9,18.5,17.8,15.8,14.9,13.1,11.6,8.6,8.3,7.5,6.7,7.4,7.6,6.4,5.8,4.9,4.4,5.1,4.8,4.1,4.2,4.8,4.4,3.8,3.6,3.1,2.9,3,3,2.7,2.5,2.1,2,1.9,1.8,1.5,1.7
Ireland,0,16.7,28.6,111.1,15.8,63.6,27.8,17.4,31.5,19.7,15.3,22.4,14.2,15.3,10.1,20.7,11.9,11.9,9.1,11.5,4.4,9.3,11.2,9.4,9.5,9.1,7.7,6.8,12.6,6.3,5.3,3.3,27.7,4.8,2.3,1.4,5.2,2.7,3.5,,,,,,,,,,,,,,,,,,
Israel,0,50,0,25,6.7,25,30,38.5,11.1,10,11.4,16.3,14,12.3,17.8,10.5,6.3,2,12.6,6,5.7,9.2,6.3,8.6,4.9,2.9,4,2.7,1.6,1,2.6,1,1.5,2.9,2.4,3.3,,,,,,,,,,,,,,,,,,,,,
Italy,0,57.1,9.1,41.7,23.5,38.1,41.4,26.8,51.9,35.4,38.3,33.1,18.3,57.1,26.5,36.3,31.1,22.9,24.6,13.8,25.5,19.3,16,19,14.3,18.4,19.7,13.5,11,12.2,10,9.5,11.2,9.7,7.5,7.5,7.2,5.8,5.8,5.5,4.6,3.4,4,3.7,3.2,3.5,3.1,3.3,2.2,2.8,2.9,2.7,2.4,2.6,2.1,1.9,1.9
Japan,0,0,0,0,0,0,0,0,66.7,0,50,6.7,18.8,15.8,0,22.7,7.4,0,0,13.8,6.1,17.1,2.4,2.4,4.7,4.4,4.3,6.1,3.8,0,3.7,1.8,8.8,1.6,22.2,0,10.4,8.2,1.1,1.1,5.3,0,9.1,13.9,16.3,2.1,21.9,6.7,16.8,6.3,0,11.4,6.8,16.7,5.2,4.3,3.3
Korea South,0,33.3,37.5,9.1,8.3,0,23.1,6.3,23.5,33.3,14.3,9.4,20,2.4,11.6,4.2,6,1.9,11.1,10,0,9.1,4.2,0,8,3.7,8.3,3.3,8.5,8.8,0,8.1,5,4,6.1,3.6,5.6,3.9,2.5,1.9,2.4,3,1.7,3.4,1.6,3.2,4.2,2,2,1.4,1.4,1.4,2.3,1.4,1.8,0.4,0.9
Mexico,0,33.3,50,33.3,25,40,3.6,27.6,35.1,20,31.7,19,33,12.8,23.4,11.5,20.1,17.2,8.4,12.2,22.3,10.6,8.2,12.3,19,5.5,3.8,20.4,24.7,0,22.1,3.5,6.1,9.4,10.4,7.3,,,,,,,,,,,,,,,,,,,,,
Morocco,0,83.3,109.1,8.7,4,26.9,9.1,8.3,12.8,9.1,22.9,18.6,14.3,12.5,3.3,4.3,10.3,3.7,6.3,6.8,0,0.8,2.4,3.8,1.5,2.9,1.4,1.4,2.8,4,1.9,0.6,1.3,0.6,1.9,1.8,1.2,,,,,,,,,,,,,,,,,,,,
Netherlands,0,20,66.7,20,79.2,34.9,31,39.5,28.3,31.6,19,29.6,29,21.9,25.8,17,20.7,12.1,20.3,12.9,14.2,11.1,11,7,5.7,12.5,7,6.6,4.8,5.3,3.6,3.1,4.3,6.4,5.8,4.3,4.1,2.3,1.8,4.4,3.5,3,2.7,2.8,1.5,1,1.1,3.2,1.8,,,,,,,,
Norway,0,16.7,0,0,0,42.9,20,16.7,0,35.7,21.1,8.7,28,21.9,12.8,13.6,18,5.1,14.5,7,17.1,13.5,6.9,4.6,5.3,7.6,4.7,3.7,7.9,1.3,5.9,1.9,0.6,9.7,0.6,2.7,3.7,2.6,1,0,2,0.5,0.5,1.4,,,,,,,,,,,,,
Pakistan,0,16.7,14.3,12.5,22.2,9.1,16.7,50,23.8,3.8,25.9,17.6,2.5,14.6,12.8,7.5,7,6.6,1.5,30.3,5.8,2.2,3.2,15.6,15.3,5.5,5.9,17.5,4.8,14.2,5.5,11.8,6.8,6.3,4.5,3.9,6.8,9.9,12.2,,,,,,,,,,,,,,,,,,
Panama,0,0,33.3,0,12.5,55.6,21.4,41.2,25,0,6.7,15.6,10.8,12.2,17.4,1.9,7.3,6.8,4.8,12.1,6.8,10.1,8,1.1,8.4,5.8,6.4,3.4,5,7.9,3.7,3.5,5.5,3.2,3.8,1.2,0,6.6,5.6,,,,,,,,,,,,,,,,,,
Peru,0,28.6,0,22.2,45.5,12.5,33.3,25,26.7,44.7,10.9,19.7,13.7,10.8,16.3,13.1,14,22.5,7.1,6.6,11.9,6.5,10.4,7.9,9.5,16,14.9,11.3,8.8,9.5,7.9,10.8,10.4,4,7.4,9.2,10.4,11.5,,,,,,,,,,,,,,,,,,,
Philippines,0,50,0,16.7,21.4,0,5.9,5.6,31.6,32,6.1,8.6,18.4,20,25.9,4.4,9.9,12.8,9.1,11.5,27.1,5.9,5.6,7.2,8.6,2.8,11.5,8.9,11.8,20.2,6.1,6.3,4.2,3.7,6.9,2.6,3,4.6,2.1,2.1,3.6,3.2,3.6,1.4,2,3.7,5.3,1.8,,,,,,,,,
Poland,0,14.3,25,40,14.3,0,12.5,22.2,40.9,6.5,30.3,32.6,24.6,11.3,19,13.8,20.6,23.3,9.4,4,14.9,11.5,5.6,7.3,8.7,9.8,5.7,4.5,3.7,5.6,5.5,6.2,6.6,8.8,6.1,2.1,5,6,4.7,3.2,,,,,,,,,,,,,,,,,
Portugal,0,100,16.7,64.3,43.5,30.3,39.5,26.7,31.6,19,17.6,14.3,16.9,11.8,17.7,8.1,10.9,5.4,10.9,10.1,7.6,6.4,8,7.2,6.2,6,5.6,5,4.5,4.6,3.9,2.9,3.7,3,4.5,4.1,3,2.6,2.8,2.2,2.6,1.6,,,,,,,,,,,,,,,
