day,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
values,1,4,5,5,13,22,24,33,50,69,94,115,143,167,198,234,267,310,339,395,443,511,571,613,637,672,724,767,796,818,838,876,907
mid,2.4,3.8,5.9,8.9,13.2,19.0,26.9,37.3,50.7,67.3,87.6,111.5,139.0,169.7,202.7,237.2,,,,,,,,,,,,,,,,,
high,,,,,,,,,,,,,,,,231.3,268.1,307.9,350.7,395.8,442.8,491.1,539.9,588.3,635.5,680.4,722.1,759.7,792.2,818.8,839.0,852.1,857.8
mid_function,-0.0106,0.3159,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_function,-0.0044,0.2223,3.9469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
