day,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
values,,1,2,4,8,16,21,32,56,81,136,213,280,355,390,498,628,804,1021,1263,1535,1825,2090,2412,2757,3082,3392,3603,3865,4175,4483,4723,4941
mid,,1.1,2.1,4.0,7.4,13.2,22.6,37.3,59.2,90.4,132.8,188.0,256.2,336.1,424.4,,,,,,,,,,,,,,,,,,
high,,,,,,,,,,,,,,,426.6,541.7,679.8,842.9,1032.6,1249.9,1494.9,1766.6,2062.8,2379.9,2713.0,3055.8,3400.9,3739.8,4063.5,4362.5,4627.6,4850.3,5023.1
mid_function,-0.019,0.4804,3.6189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_function,-0.006,0.329,4.0468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mid_function_cubic,0.0002,-0.009,0.2022,1.5765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
