day,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
values,3,4,4,5,10,14,21,37,67,75,88,122,178,220,289,353,431,513,705,828,1011,1143,1283,1447,1632,2035,2240,2523,3019,3346,3600,3903,4157
mid,1.3,2.3,3.7,6.1,9.6,14.8,22.5,33.5,48.7,69.4,96.9,132.4,177.2,232.1,297.8,374.2,460.3,554.5,654.1,,,,,,,,,,,,,,
high,,,,,,,,,,,,,,,,,,,668.9,798.7,947.1,1115.2,1304.0,1514.1,1745.9,1999.0,2272.9,2566.2,2877.3,3203.5,3541.8,3888.6,4239.5
mid_function,-0.0105,0.3857,3.5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_function,-0.0035,0.2579,4.0922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
