day,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
values,2,6,8,9,14,17,23,24,38,55,73,98,135,154,267,333,468,617,744,890,966,1218,1420,1640,1959,2168,2549,3095,3456,3776,4178,4474,4861
mid,3.1,4.4,6.3,8.8,12.3,17,23.2,31.4,42,55.7,73,94.9,122,155.4,195.8,244.4,302,369.5,447.5,536.6,637.1,748.8,871.4,1004,1145.2,1293.2,1445.9,1600.5,1754.1,1903.2,2044.5,2174.4,2289.5
high,,,,,,,,,,,,,171.3,221.2,283.2,359.1,451.2,561.8,693.1,847.3,1026.2,1231.5,1464.4,1725.4,2014.2,2329.9,2670.4,3032.7,3412.5,3804.7,4203.2,4600.9,4990
mid_function,-0.005,0.2966,3.4461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_function,-0.0046,0.3066,3.7252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
