ISO,26/04/20,27/04/20
IT-ABR,293,299
IT-PUG,391,405
IT-BAS,25,25
IT-CAL,80,83
IT-CAM,341,352
IT-EMR,3347,3431
IT-FVG,263,271
IT-LAZ,387,397
IT-LIG,1093,1128
IT-LOM,13269,13449
IT-MAR,874,884
IT-MOL,21,21
IT-PMN,2767,2878
IT-SAR,103,109
IT-SIC,224,231
IT-TOS,760,795
IT-TAA,400,407
IT-UMB,63,65
IT-VAO,130,133
IT-VEN,1288,1344
IT,26384,26707
